수집일,주문일,판매사이트 주문번호,판매사이트명,판매자ID,판매가,배송비금액,마스터상품코드,판매사이트 상품코드,상품명,판매자상품코드,주문선택사항,주문수량,에누리,구매링크,구매가,구매자명,수령자명,수령자전화번호,수령자휴대폰번호,배송지우편번호,배송지주소,배송메세지,담당자,구매처,계정,구매금액,주문번호　앞부분,결제일시,카드정보,포인트,주문여부,한줄메모,주문고유번호,배송사명,송장번호
2026-09-06 00:28,2026-09-05 22:28,2655864004651 756160904301048,쿠팡(신),samplestore,23330,0,,7931247021,오리온 촉촉한 황치즈칩 16P,,320g x 4개,2,0,,,이예준,이예준,0502-1614-2408,0502-1614-2408,12486,경기도 용인시 기흥구 흥덕1로 292 107동 222호,문 앞,명진,지마켓,지마켓(명진),18900,9855630065,2026-09-06 02:28,하나,303,O,,148194179472,T025,560805363094
2026-09-06 08:01,2026-09-05 13:01,2813252412811 743118015954833,쿠팡(신),samplestore,20560,0,,8176272276,모던하우스 스테인리스 물병 2P 세트,,크림 2개 1.5L,1,0,,,홍예준,홍예준,0502-7101-2596,0502-7101-2596,44374,대구광역시 수성구 동대구로 264 111동 1189호,,,,,,,,,,,,446935555864,,
2026-09-06 12:28,2026-09-06 00:28,5369269229485 302399450690599,쿠팡(신),samplestore,38600,0,,8063254275,[지지피엑스] NEW 아트웍 폰테 티셔츠,,사이즈:55,1,0,,,윤도윤,임도윤,0502-5919-9604,0502-5919-9604,42934,대구광역시 수성구 동대구로 272 107동 438호,직접 받고 부재 시 문 앞,,,,,,,,,,,561661581186,,
2026-09-07 05:05,2026-09-06 11:05,6984236978636 494268099141775,쿠팡(신),samplestore,49800,0,,8803817087,수향미 골든퀸 3호 백미,,10kg 1개 특등급,1,0,,,전채원,황도윤,0502-8474-2126,0502-8474-2126,01994,서울특별시 마포구 월드컵북로 168 111동 1284호,,명진,옥션,옥션(명진),42100,8372860242,2026-09-07 07:05,하나,277,O,,488530022802,T025,227177931064
2026-09-06 02:26,2026-09-05 16:26,7997565222787 659019506107056,쿠팡(신),samplestore,38600,0,,8179913224,[지지피엑스] NEW 아트웍 폰테 티셔츠,,사이즈:55,1,0,,,박서윤,신지호,0502-8359-7580,0502-8359-7580,07804,서울특별시 마포구 월드컵북로 193 111동 880호,경비실,,,,,,,,,,,190842513597,,
2026-09-06 00:55,2026-09-05 16:55,9529856860318 763296843877422,쿠팡(신),samplestore,20560,0,,7312837671,모던하우스 스테인리스 물병 2P 세트,,크림 2개 1.5L,2,0,,,강지호,강지호,0502-5619-1067,0502-5619-1067,16220,경기도 용인시 기흥구 흥덕1로 74 112동 1156호,문 앞,,,,,,,,,,,958439320372,,
2026-09-06 11:23,2026-09-05 22:23,7933790816772 642145576527916,쿠팡(신),samplestore,21900,0,,7144627902,세탁세제 액체 3L,,2개,1,0,,,홍유진,홍유진,0502-2019-4122,0502-2019-4122,42801,대구광역시 수성구 동대구로 184 110동 208호,문 앞,명진,11번가,11번가(명진),16800,3434317078,2026-09-06 13:23,하나,151,O,,503507662405,T025,775203015452
2026-09-06 15:39,2026-09-06 06:39,7111547198844 510013049747471,쿠팡(신),samplestore,38600,0,,8000704747,[지지피엑스] NEW 아트웍 폰테 티셔츠,,사이즈:55,2,0,,,황지우,황지우,0502-2889-8996,0502-2889-8996,12407,경기도 용인시 기흥구 흥덕1로 83 102동 802호,직접 받고 부재 시 문 앞,,,,,,,,,,,279066020342,,
2026-09-06 09:00,2026-09-05 16:00,3578534092597 711559062127845,쿠팡(신),samplestore,15900,0,,8113248780,아기물티슈 캡형 100매,,10팩,1,0,,,김수아,오하은,0502-2491-5278,0502-2491-5278,09725,서울특별시 마포구 월드컵북로 287 113동 1130호,직접 받고 부재 시 문 앞,,,,,,,,,,,347546633149,,
2026-09-06 20:30,2026-09-06 12:30,8051556045975 325087324920165,쿠팡(신),samplestore,15900,0,,7059994414,아기물티슈 캡형 100매,,10팩,1,0,,,안채원,안채원,0502-6825-1474,0502-6825-1474,14172,경기도 용인시 기흥구 흥덕1로 186 108동 816호,직접 받고 부재 시 문 앞,명진,11번가,11번가(명진),11200,1946878464,2026-09-06 22:30,롯데,340,O,,470212034013,T025,784972780213
